Name,Latitude,Longitude,Address,id
Ái Nghĩa,15.884700400011182,108.118081,"V4M9+Q39, TT. ái Nghĩa, Đại Lộc, Quảng Nam, Vietnam",0
Ái Tử,16.768728500110644,107.16436609999998,"Q597+FQ6, TT. ái Tử, Triệu Phong, Quảng Trị, Vietnam",1
A Lưới,16.27400790005578,107.2338277,"76FM+JF9, Nơ Trang Long, A Lưới, Thừa Thiên Huế, Vietnam",2
A May,16.48821390007982,106.7438623,"FPQV+7G Hương Hóa, Quảng Trị, Vietnam",3
Ấm Thượng,10.0582345994409,106.2619759,"3756+FVC, ĐH1, Đức Mỹ, Càng Long, Trà Vinh, Vietnam",4
An Bài,20.65310340039637,106.4274376,"55A P. Mai Xá, An Bài, Quỳnh Phụ, Thái Bình, Vietnam",5
An Chau,10.44382909946209,105.38794919999998,"C9VQ+G45 Chau Thanh District Park, TT. An Châu, Châu Thành, An Giang, Vietnam",6
An Châu,21.332919300408832,106.8490808,"8RMX+3H7, QL279, TT. An Châu, Sơn Động, Bắc Giang, Vietnam",7
An Dương,20.86665790040168,106.615461,"104B, Residential Quarter 1, An Duong Town, An Duong District, TT. An Dương, An Dương, Hải Phòng, Vietnam",8
Ang Mo,22.305466000403875,106.3255431,"884G+83F, Tân Tiến, Tràng Định District, Lạng Sơn, Vietnam",9
An Hải,15.215938199932806,108.92844719999998,"6W8H+99 Bình Sơn District, Quang Ngai, Vietnam",10
Anh Sơn,18.930772200309555,105.0826122,"W3JM+44X, Anh Sơn, Anh Sơn District, Nghe An, Vietnam",11
An Khê,13.950474199784434,108.6608142,"146 Ngô Thì Nhậm, P. An Phú, An Khê, Gia Lai, Vietnam",12
An Lão,14.614859899861807,108.8909336,"JV7R+R96, TT. An Lão, An Lão, Bình Định, Vietnam",13
An Lão,20.823171200400704,106.5582169,"79 Nguyễn Văn Trỗi, An Luận, An Lão, Hải Phòng, Vietnam",14
An Lợi,14.04589839979541,108.6915915,"2MWR+FR3, Xuân an, An Khê, Gia Lai, Vietnam",15
An Lương 1,15.868448100009296,108.3878604,"V99Q+94 Duy Xuyên District, Quảng Nam, Vietnam",16
An Nhơn,13.886025399777054,109.11169449999998,"32 Mai Xuân Thưởng, TT. Bình Định, An Nhơn, Bình Định, Vietnam",17
Anning,22.969400000385185,106.273,"X79F+Q6 Anningxiang, Jingxi, Baise, Guangxi, China",18
An Nông,16.366310800066184,107.7096154,"9P85+79R, Thủy Phù, Hương Thủy, Thua Thien Hue, Vietnam",19
An Phú,10.813409599485604,105.093093,"R37V+669, ĐT956, TT. An Phú, An Phú, An Giang, Vietnam",20
An Thạch,15.247228099936503,108.6297451,"6JWH+VV Trà Bồng District, Quang Ngai, Vietnam",21
Ân Thi,20.81632180040054,106.08857249999998,"R38Q+F7F, Ân Thi, Ân Thi District, Hung Yen, Vietnam",22
ấp 1,9.894391899432966,106.6583052,"VMV5+Q8 Thạnh Phú District, Ben Tre, Vietnam",23
ấp Biển,9.2501780994082,105.78179559999998,"7Q2J+3P Bạc Liêu, Vietnam",24
ấp Năm,9.66886539942312,105.3214712,"M89C+GH Gò Quao District, Kien Giang, Vietnam",25
A Roóp,15.764907499997271,107.2939053,"Q77V+XH Tây Giang District, Quảng Nam, Vietnam",26
A Tiêng,15.89212820001204,107.496483,"VFRW+VH Tây Giang District, Quảng Nam, Vietnam",27
Ayun Pa,13.40051979972251,108.4467165,"90 Lê Lợi, Sông Bờ, Ayun Pa, Gia Lai, Vietnam",28
Bác Ái,11.84105119956613,108.90440879999998,"RWR3+7M3, Phước Đại, Bác Ái District, Ninh Thuận, Vietnam",29
Ba. Ca Xiêng,17.922204500226822,105.67934449999998,"WMCH+VP Minh Hoá, Quang Binh Province, Vietnam",30
Bắc Hà,22.537755600398725,104.2915569,"88, Đường Ngọc Uyển, Thị Trấn Bắc Hà, Huyện Bắc Hà, TT. Bắc Hà, Bắc Hà, Lào Cai, Vietnam",31
Ba Chẽ,21.273373600408263,107.2826989,"77FM+82C, Ba Chẽ, Quảng Ninh, Vietnam",32
Ba Chúc,10.488558599464769,104.9087408,"FWQ5+MGW, ĐT955B, Khóm An Hòa A, Tri Tôn, An Giang, Vietnam",33
Bắc Sơn,21.453531400409684,105.7843264,"FQ3M+CP Phổ Yên, Thai Nguyen, Vietnam",34
Bắc Sơn,21.90008030040921,106.3189152,"Kiot 21 chợ trung tâm, TT. Bắc Sơn, Bắc Sơn, Lạng Sơn, Vietnam",35
Bắc Yên,21.247293300407986,104.44170230000002,"319 QL37, TT. Bắc Yên, Bắc Yên, Sơn La, Vietnam",36
Ba Đình Thắng,19.28657950033354,104.6784701,"7MPH+J9 Tương Dương District, Nghe An, Vietnam",37
